strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
Parabolic_SAR,EURGBP,D1,11,63.64,5.01,10.32,1.0972,1.1442,-6.2,1.69,0.5277,0.4896,10501.49
RSI,XAUUSD,D1,3,66.67,3.19,6.5,1.0664,0.0,-2.02,2.5,7.8616,4.3048,10318.78
EMA_Cross,AUDJPY,D1,4,75.0,4.23,8.68,1.0127,0.0,-2.04,3.03,1.3434,1.6164,10423.43
Bollinger,CADJPY,D1,6,66.67,3.67,7.5,0.9999,167.4027,-4.11,1.83,1.0559,0.7856,10367.13
Parabolic_SAR,USDCAD,D1,13,53.85,4.75,9.77,0.9921,101.3467,-4.05,1.43,0.7707,0.6482,10475.35
MACD,USDCHF,D1,9,44.44,4.18,8.57,0.992,0.762,-3.34,1.68,1.4792,0.5695,10418.06
RSI,GBPUSD,H4,23,52.17,7.25,15.07,0.982,1.3549,-9.52,1.35,0.5236,0.3989,10724.68
EMA_Cross,GBPCHF,D1,5,60.0,3.41,6.96,0.9707,1.4187,-2.1,1.89,0.9923,0.6392,10341.08
Stochastic,AUDUSD,D1,8,62.5,5.31,10.95,0.9593,262.615,-2.02,1.84,1.6491,1.4332,10531.43
RSI,EURJPY,D1,3,66.67,2.7,5.5,0.953,0.0,-2.09,2.3,0.9644,0.7234,10270.17
EMA_Cross,CADJPY,H4,28,50.0,4.06,8.32,0.9394,0.7385,-7.79,1.15,0.417,0.3415,10406.35
Stochastic,NZDUSD,D1,8,62.5,5.41,11.15,0.9229,300.3461,-2.03,1.85,1.7106,1.6135,10540.76
Stochastic,AUDUSD,H4,58,50.0,10.29,21.71,0.9031,3.5085,-13.6,1.17,0.7224,0.5945,11028.66
RSI,GBPJPY,H4,23,56.52,5.2,10.7,0.8791,14.7049,-7.08,1.24,0.4121,0.4951,10519.64
RSI,ETHUSD,D1,3,66.67,3.04,6.15,0.8708,0.0,-2.03,2.42,12.6376,8.6218,10303.67
Swing_SR,EURJPY,H1,46,69.57,5.59,11.54,0.8688,11.4371,-6.28,1.21,0.1656,0.3072,10559.07
EMA_Cross,EURCHF,H4,32,56.25,4.1,8.39,0.8459,0.9411,-6.34,1.14,0.2387,0.2593,10409.51
Stochastic,GBPJPY,D1,6,50.0,2.77,5.64,0.8317,90.9366,-2.08,1.62,1.2395,0.7832,10277.37
Bollinger,NZDJPY,D1,4,75.0,3.21,6.54,0.8201,0.0,-2.04,2.57,1.1875,1.4194,10320.56
Swing_SR,ETHUSD,D1,4,75.0,2.16,4.35,0.802,0.0,-2.02,2.04,11.1351,9.9009,10215.56
Swing_SR,EURUSD,H4,15,66.67,3.57,7.3,0.7634,25.7871,-6.03,1.35,0.4039,0.6549,10357.16
