strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
Parabolic_SAR,AUDJPY,M15,1115,36.5,-47.46,-72.52,-18.2245,-24.2712,-47.43,0.4,0.1011,0.1488,5254.1
Bollinger,EURJPY,M15,657,30.44,-32.56,-54.64,-18.2376,-21.2643,-32.64,0.23,0.0572,0.1111,6744.22
Bollinger,EURAUD,M15,667,32.38,-34.28,-56.94,-18.9694,-23.0866,-34.34,0.29,0.0761,0.1294,6571.69
MACD,EURJPY,M15,995,30.15,-45.89,-70.84,-19.1499,-20.8963,-45.85,0.2,0.0477,0.1092,5411.37
Bollinger,GBPJPY,M15,674,26.56,-38.97,-62.88,-19.2022,-23.1217,-38.97,0.22,0.0745,0.1266,6102.97
MACD,EURAUD,M15,981,34.35,-45.16,-70.05,-19.3001,-21.0641,-45.13,0.28,0.0659,0.1277,5483.94
Stochastic,GBPAUD,M15,937,41.62,-40.2,-64.36,-19.3271,-23.8732,-40.16,0.36,0.069,0.1431,5980.32
Parabolic_SAR,USDCAD,M15,1145,34.24,-31.72,-53.5,-19.4313,-24.0047,-31.75,0.35,0.0519,0.0776,6827.99
EMA_Cross,GBPJPY,M15,592,30.41,-39.66,-63.71,-19.4491,-22.3414,-39.63,0.16,0.0499,0.1443,6034.33
Parabolic_SAR,NZDJPY,M15,1117,36.35,-48.76,-73.86,-19.6156,-22.2964,-48.73,0.37,0.0948,0.148,5124.28
Stochastic,EURAUD,M15,937,41.09,-42.55,-67.12,-19.9283,-22.7748,-42.65,0.32,0.0655,0.1462,5744.79
MACD,CADJPY,M15,1037,31.53,-47.16,-72.2,-20.3458,-22.6899,-47.16,0.25,0.0593,0.1171,5284.13
Stochastic,GBPCHF,M15,869,39.24,-37.83,-61.47,-20.5633,-22.7732,-37.83,0.26,0.0456,0.1194,6217.47
Stochastic,CADJPY,M15,926,40.6,-41.11,-65.44,-20.7609,-23.1285,-41.08,0.3,0.0568,0.135,5889.17
EMA_Cross,EURGBP,M15,648,19.14,-34.95,-57.81,-20.8845,-21.9474,-34.89,0.06,0.0223,0.0875,6504.61
Stochastic,EURJPY,M15,922,38.39,-39.9,-64.01,-21.3758,-25.2489,-39.95,0.26,0.0491,0.1201,6009.52
EMA_Cross,EURCHF,M15,659,23.37,-35.35,-58.33,-22.4277,-23.8523,-35.35,0.09,0.0268,0.0947,6464.53
MACD,GBPJPY,M15,1049,27.26,-58.65,-83.0,-22.6307,-24.2713,-58.65,0.15,0.0499,0.1343,4135.39
Parabolic_SAR,EURAUD,M15,1136,34.68,-49.24,-74.35,-22.8394,-25.8282,-49.22,0.28,0.0647,0.1256,5076.3
Bollinger,EURCHF,M15,690,23.62,-30.92,-52.4,-22.9242,-26.7963,-30.88,0.19,0.0525,0.0864,6907.93
Parabolic_SAR,GBPAUD,M15,1123,35.35,-48.18,-73.27,-23.0096,-26.1885,-48.15,0.3,0.0666,0.1269,5181.99
Parabolic_SAR,CADJPY,M15,1111,32.76,-49.47,-74.58,-23.7305,-25.5862,-49.47,0.25,0.0571,0.1191,5053.19
MACD,GBPCHF,M15,1072,30.69,-47.48,-72.54,-23.8849,-24.9686,-47.41,0.2,0.0456,0.1068,5252.03
Parabolic_SAR,GBPCHF,M15,1063,31.89,-47.23,-72.28,-24.5945,-27.1695,-47.2,0.21,0.0473,0.1105,5276.94
MACD,EURGBP,M15,1101,19.44,-49.35,-74.46,-24.8327,-25.5045,-49.32,0.08,0.0253,0.0828,5065.24
Bollinger,EURGBP,M15,683,19.03,-32.45,-54.49,-25.7129,-26.4052,-32.49,0.11,0.0357,0.0794,6755.0
Stochastic,EURCHF,M15,901,28.97,-41.31,-65.68,-26.1261,-27.7734,-41.36,0.13,0.0282,0.0947,5869.47
MACD,EURCHF,M15,1097,21.97,-49.22,-74.33,-26.3572,-26.3572,-49.19,0.1,0.0277,0.0869,5078.45
Stochastic,EURGBP,M15,863,26.42,-38.96,-62.87,-26.3888,-27.3228,-38.96,0.11,0.0248,0.0867,6104.18
Parabolic_SAR,EURJPY,M15,1090,30.64,-48.47,-73.56,-26.8342,-29.1424,-48.47,0.2,0.0478,0.1087,5153.41
Stochastic,GBPJPY,M15,930,34.19,-51.64,-76.73,-27.8565,-29.5252,-51.61,0.19,0.0512,0.1452,4835.71
Parabolic_SAR,GBPJPY,M15,1121,29.26,-58.85,-83.17,-29.663,-33.5676,-58.82,0.17,0.0502,0.1328,4115.14
Parabolic_SAR,EURGBP,M15,1109,21.55,-48.27,-73.37,-32.9885,-35.2388,-48.22,0.09,0.0265,0.083,5172.55
Parabolic_SAR,EURCHF,M15,1035,25.8,-46.91,-71.93,-33.6521,-34.2093,-46.87,0.11,0.0274,0.0919,5309.36
