strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
Stochastic,XAGUSD,D1,11,81.82,137.62,467.98,3.0033,16.1869,-15.85,4.27,12.3567,8.2674,23761.58
Parabolic_SAR,XRPUSD,D1,12,66.67,85.96,244.94,2.7278,7.0151,-4.07,6.44,9.495,2.5131,18596.18
Bollinger,GBPJPY,D1,5,100.0,4.95,10.19,2.7194,0.0,0.0,inf,0.9729,0.0,10495.19
Stochastic,CADJPY,D1,9,66.67,4.98,10.25,2.2461,3.6211,-1.02,3.01,1.2102,0.7801,10498.17
Swing_SR,GBPJPY,H4,19,78.95,3.56,7.28,2.2375,3.1744,-1.48,2.3,0.4122,0.6643,10356.36
Bollinger,EURGBP,D1,8,75.0,1.87,3.79,2.1594,0.0,-0.54,4.07,0.4102,0.3,10187.07
EMA_Cross,XAUUSD,D1,4,75.0,13.42,28.74,2.0103,0.0,-2.16,6.66,5.0477,2.156,11341.54
EMA_Cross,EURUSD,D1,6,66.67,3.15,6.42,1.999,1.4984,-0.67,4.17,1.0257,0.4882,10315.12
Bollinger,GBPCHF,D1,3,66.67,1.65,3.34,1.9766,0.0,0.0,5.93,0.9886,0.3285,10165.19
Swing_SR,NZDJPY,D1,3,100.0,4.18,8.56,1.9745,0.0,0.0,inf,1.3747,0.0,10417.78
RSI,USDCAD,D1,3,66.67,1.46,2.96,1.9643,0.0,0.0,9.28,0.8166,0.1739,10146.29
Stochastic,NZDJPY,D1,9,77.78,7.11,14.78,1.9633,9.2588,-1.47,3.42,1.3992,1.4129,10710.86
EMA_Cross,USDCAD,D1,9,55.56,2.79,5.68,1.9625,4.8082,-1.33,3.07,0.8222,0.3342,10279.3
Stochastic,GBPUSD,D1,7,71.43,4.9,10.08,1.9554,8.9619,-1.1,3.24,1.3898,1.0526,10490.06
Stochastic,NZDJPY,H4,60,60.0,6.82,14.15,1.9429,3.2728,-1.59,1.47,0.5793,0.5896,10681.73
RSI,EURUSD,D1,6,83.33,3.51,7.17,1.8969,0.0,-0.7,6.0,0.8358,0.7019,10351.15
RSI,NZDJPY,H4,20,65.0,3.49,7.12,1.8754,4.1874,-1.98,1.86,0.5699,0.564,10348.69
MACD,USDCAD,D1,8,62.5,2.59,5.27,1.818,1.6843,-1.37,2.65,0.8264,0.5167,10259.27
EMA_Cross,USDCHF,H4,34,55.88,4.02,8.22,1.7815,2.1262,-2.63,1.62,0.5411,0.42,10401.54
Stochastic,GBPUSD,H4,53,60.38,4.58,9.4,1.7807,2.6578,-1.87,1.48,0.4343,0.4459,10458.02
EMA_Cross,ETHUSD,D1,6,83.33,29.83,68.37,1.6552,0.0,-8.94,3.72,7.3927,8.941,12982.85
MACD,AUDUSD,H4,59,47.46,5.58,11.51,1.6271,3.3252,-2.55,1.38,0.7042,0.4571,10557.81
Stochastic,EURUSD,H4,58,55.17,3.76,7.68,1.6201,4.095,-1.94,1.38,0.4189,0.3718,10375.82
EMA_Cross,USDJPY,D1,6,66.67,3.28,6.68,1.5888,0.9124,-1.16,2.88,1.2418,0.8514,10327.62
Parabolic_SAR,GBPAUD,D1,12,58.33,4.46,9.16,1.5693,4.5887,-1.6,1.98,1.2733,0.8935,10446.49
Swing_SR,GBPUSD,H4,17,70.59,2.36,4.79,1.5631,1.2693,-1.33,1.84,0.4262,0.5525,10235.7
Stochastic,EURJPY,D1,5,80.0,2.63,5.35,1.558,0.0,-0.92,3.82,0.8849,0.9189,10263.05
Parabolic_SAR,USDJPY,H4,69,44.93,3.16,6.43,1.4971,2.2229,-2.59,1.28,0.4512,0.2848,10315.56
MACD,EURCHF,D1,9,55.56,2.39,4.85,1.4843,0.7646,-0.82,2.8,0.7413,0.3319,10238.84
EMA_Cross,EURCHF,D1,6,50.0,1.63,3.31,1.4576,0.9927,-0.76,2.96,0.8226,0.2785,10163.36
Bollinger,CADJPY,D1,6,66.67,2.65,5.39,1.4106,12.4791,-1.57,2.63,1.0559,0.7856,10265.27
RSI,XAGUSD,D1,2,100.0,30.32,70.14,1.3977,0.0,0.0,inf,14.4526,0.0,13031.87
Swing_SR,XAGUSD,D1,2,50.0,9.93,20.92,1.3977,0.0,0.0,2.15,18.5895,7.3025,10992.94
Swing_SR,CADJPY,D1,2,50.0,-0.13,-0.27,1.3923,0.0,0.0,0.89,1.1026,1.2231,9986.6
RSI,NZDUSD,D1,2,100.0,2.66,5.42,1.3923,0.0,0.0,inf,1.3242,0.0,10266.46
Swing_SR,AUDUSD,D1,2,100.0,2.22,4.5,1.3923,0.0,0.0,inf,1.106,0.0,10221.61
RSI,GBPJPY,D1,1,100.0,1.09,2.2,1.3923,0.0,0.0,inf,1.0927,0.0,10109.27
RSI,GBPCHF,D1,1,100.0,0.96,1.93,1.3923,0.0,0.0,inf,0.9595,0.0,10095.95
Swing_SR,EURAUD,D1,1,100.0,1.09,2.21,1.3923,0.0,0.0,inf,1.0944,0.0,10109.44
RSI,GBPUSD,D1,1,100.0,1.29,2.61,1.3923,0.0,0.0,inf,1.2923,0.0,10129.23
RSI,EURGBP,D1,1,100.0,0.78,1.57,1.3923,0.0,0.0,inf,0.7792,0.0,10077.92
Swing_SR,EURCHF,D1,2,100.0,1.36,2.75,1.3923,0.0,0.0,inf,0.6773,0.0,10135.89
RSI,XAUUSD,D1,3,66.67,11.33,24.04,1.337,0.0,-4.3,3.26,7.8616,4.3048,11133.18
EMA_Cross,EURAUD,D1,4,75.0,2.38,4.84,1.3272,0.0,-1.29,2.82,1.2268,1.294,10238.32
EMA_Cross,BTCUSD,D1,6,66.67,12.08,25.56,1.3195,1.2358,-6.14,2.84,4.5474,3.1171,11207.91
EMA_Cross,USDCAD,H4,20,55.0,1.25,2.53,1.3084,1.3028,-1.03,1.59,0.3065,0.2351,10125.48
Parabolic_SAR,EURGBP,D1,11,63.64,1.73,3.51,1.292,1.2138,-1.71,1.89,0.5277,0.4896,10173.26
MACD,USDCHF,D1,9,44.44,3.06,6.23,1.2855,1.1192,-1.46,2.06,1.4792,0.5695,10305.94
Swing_SR,ETHUSD,D1,4,75.0,23.62,52.69,1.2587,0.0,-9.9,2.93,11.1351,9.9009,12362.01
Stochastic,USDCHF,H4,57,54.39,3.28,6.69,1.2542,3.9543,-1.47,1.27,0.4848,0.4513,10327.71
EMA_Cross,GBPCHF,D1,5,60.0,1.69,3.43,1.2062,8.9204,-0.66,2.31,0.9923,0.6392,10169.33
Swing_SR,GBPJPY,H1,50,70.0,1.45,2.93,1.188,1.2811,-1.42,1.3,0.177,0.3161,10145.0
RSI,GBPUSD,H4,23,52.17,1.89,3.82,1.1312,2.5756,-1.67,1.43,0.5236,0.3989,10188.69
RSI,EURJPY,D1,3,66.67,1.2,2.42,1.0843,0.0,-0.72,2.66,0.9644,0.7234,10120.05
Stochastic,AUDUSD,D1,8,62.5,3.91,8.01,1.0064,2.5975,-1.61,1.88,1.6491,1.4332,10391.38
MACD,XAUUSD,H1,219,43.38,11.12,23.72,0.9805,1.8966,-10.22,1.13,0.9477,0.6336,11112.27
Stochastic,AUDUSD,H4,58,50.0,3.64,7.43,0.9767,2.5534,-3.3,1.21,0.7224,0.5945,10363.53
EMA_Cross,CADJPY,H4,28,50.0,1.04,2.1,0.9373,0.8262,-1.49,1.21,0.417,0.3415,10103.95
MACD,ETHUSD,D1,11,63.64,26.65,60.23,0.9338,0.3699,-15.67,2.09,7.0141,5.6716,12664.51
EMA_Cross,GBPAUD,D1,5,60.0,1.69,3.42,0.9258,0.5337,-1.25,1.86,1.2211,0.9762,10169.22
Stochastic,XAUUSD,D1,11,54.55,13.52,28.99,0.9247,1.7655,-8.15,1.56,5.9562,4.2883,11352.27
Parabolic_SAR,XAUUSD,H4,58,43.1,7.96,16.62,0.9137,1.8347,-8.21,1.18,1.9928,1.2507,10796.28
RSI,ETHUSD,D1,3,66.67,15.58,33.51,0.8993,0.0,-8.62,2.43,12.6376,8.6218,11557.99
EMA_Cross,EURCHF,H4,32,56.25,0.66,1.32,0.8941,1.1009,-0.98,1.18,0.2387,0.2593,10065.75
Parabolic_SAR,USDCAD,D1,13,53.85,1.48,2.99,0.8586,1.8688,-1.7,1.38,0.7707,0.6482,10147.95
Parabolic_SAR,XAGUSD,D1,7,42.86,15.23,32.92,0.855,1.5459,-11.5,1.4,16.8806,7.7036,11523.48
Swing_SR,XAUUSD,H4,9,66.67,3.58,7.31,0.8522,1.5224,-5.3,1.49,1.7774,2.3222,10357.73
MACD,XAGUSD,D1,9,44.44,14.36,30.91,0.8484,0.6045,-19.17,1.48,11.7005,5.8722,11436.3
Swing_SR,EURJPY,H1,46,69.57,0.99,2.0,0.8223,0.9722,-1.43,1.23,0.1656,0.3072,10098.94
EMA_Cross,AUDJPY,D1,4,75.0,2.4,4.87,0.8146,0.0,-1.62,2.46,1.3434,1.6164,10239.92
Stochastic,NZDUSD,D1,8,62.5,3.66,7.48,0.8082,4.2681,-1.69,1.74,1.7106,1.6135,10366.15
Bollinger,NZDJPY,D1,4,75.0,2.13,4.32,0.8062,0.0,-1.42,2.5,1.1875,1.4194,10213.21
Swing_SR,XAGUSD,H1,44,54.55,7.96,16.71,0.7989,1.0031,-20.48,1.15,2.2714,2.2739,10795.97
MACD,NZDUSD,D1,9,44.44,2.27,4.61,0.7694,0.7308,-2.97,1.48,1.746,0.929,10227.22
RSI,XRPUSD,H4,26,50.0,12.03,25.45,0.7558,1.0321,-11.16,1.28,4.1775,3.1388,11203.0
Swing_SR,CADJPY,H4,11,54.55,1.05,2.13,0.751,0.6317,-0.92,1.41,0.6036,0.5103,10105.44
Stochastic,GBPJPY,D1,6,50.0,1.34,2.71,0.7382,2.8938,-1.18,1.56,1.2395,0.7832,10134.08
RSI,XAUUSD,H4,25,40.0,5.76,11.89,0.7175,2.2926,-6.47,1.25,2.8862,1.5002,10575.89
RSI,USDCHF,D1,3,66.67,1.83,3.71,0.7094,0.0,-0.83,3.22,1.331,0.8253,10182.94
Bollinger,EURJPY,D1,6,50.0,1.23,2.48,0.6837,0.4245,-1.4,1.53,1.1728,0.756,10122.57
